Subject,Block,WaitTime,Accuracy
16099,3,none,1
16099,3,short,1
16099,3,medium,0.8571428571428571
16099,3,long,0.8571428571428571
16100,1,none,1
16100,1,short,0.8571428571428571
16100,1,medium,0.5714285714285714
16100,1,long,0.5714285714285714
16100,2,none,1
16100,2,short,1
16100,2,medium,0.8571428571428571
16100,2,long,0.7142857142857143
16100,3,none,1
16100,3,short,1
16100,3,medium,1
16100,3,long,0.8571428571428571
16104,1,none,1
16104,1,short,1
16104,1,medium,1
16104,1,long,1
16104,2,none,1
16104,2,short,1
16104,2,medium,1
16104,2,long,1
16104,3,none,1
16104,3,short,1
16104,3,medium,1
16104,3,long,1
16106,1,none,1
16106,1,short,0.8571428571428571
16106,1,medium,1
16106,1,long,0.7142857142857143
16106,2,none,1
16106,2,short,0.8571428571428571
16106,2,medium,0.8571428571428571
16106,2,long,0.2857142857142857
16106,3,none,1
16106,3,short,0.8571428571428571
16106,3,medium,0.7142857142857143
16106,3,long,0.42857142857142855
16107,1,none,1
16107,1,short,1
16107,1,medium,1
16107,1,long,0.8571428571428571
16107,2,none,1
16107,2,short,0.8571428571428571
16107,2,medium,1
16107,2,long,0.7142857142857143
16107,3,none,1
16107,3,short,1
16107,3,medium,1
16107,3,long,0.8571428571428571
16108,1,none,1
16108,1,short,0.8571428571428571
16108,1,medium,1
16108,1,long,0.8571428571428571
16108,2,none,1
16108,2,short,1
16108,2,medium,1
16108,2,long,1
16108,3,none,1
16108,3,short,1
16108,3,medium,1
16108,3,long,1
16110,1,none,1
16110,1,short,1
16110,1,medium,1
16110,1,long,1
16110,2,none,1
16110,2,short,0.8571428571428571
16110,2,medium,0.8571428571428571
16110,2,long,1
16110,3,none,1
16110,3,short,1
16110,3,medium,1
16110,3,long,1
16113,1,none,1
16113,1,short,0.7142857142857143
16113,1,medium,1
16113,1,long,0.7142857142857143
16113,2,none,1
16113,2,short,0.8571428571428571
16113,2,medium,0.5714285714285714
16113,2,long,0.42857142857142855
16113,3,none,1
16113,3,short,0.8571428571428571
16113,3,medium,0.8571428571428571
16113,3,long,0.42857142857142855
16114,1,none,1
16114,1,short,1
16114,1,medium,1
16114,1,long,1
16114,2,none,1
16114,2,short,1
16114,2,medium,1
16114,2,long,1
16114,3,none,1
16114,3,short,1
16114,3,medium,1
16114,3,long,1
16115,1,none,1
16115,1,short,0.7142857142857143
16115,1,medium,0.8571428571428571
16115,1,long,0.7142857142857143
16115,2,none,1
16115,2,short,1
16115,2,medium,0.8571428571428571
16115,2,long,0.7142857142857143
16115,3,none,1
16115,3,short,0.8571428571428571
16115,3,medium,0.8571428571428571
16115,3,long,0.7142857142857143
16116,1,none,1
16116,1,short,1
16116,1,medium,1
16116,1,long,0.8571428571428571
16116,2,none,1
16116,2,short,0.7142857142857143
16116,2,medium,1
16116,2,long,0.5714285714285714
16116,3,none,1
16116,3,short,1
16116,3,medium,1
16116,3,long,0.5714285714285714
16117,1,none,1
16117,1,short,0.7142857142857143
16117,1,medium,0.7142857142857143
16117,1,long,0.5714285714285714
16117,2,none,1
16117,2,short,0.5714285714285714
16117,2,medium,0.5714285714285714
16117,2,long,0.5714285714285714
16117,3,none,1
16117,3,short,0.8571428571428571
16117,3,medium,0.7142857142857143
16117,3,long,0.7142857142857143
16121,1,none,1
16121,1,short,1
16121,1,medium,1
16121,1,long,1
16121,2,none,1
16121,2,short,0.8571428571428571
16121,2,medium,0.8571428571428571
16121,2,long,0.8571428571428571
16121,3,none,1
16121,3,short,1
16121,3,medium,1
16121,3,long,0.8571428571428571
16122,1,none,1
16122,1,short,1
16122,1,medium,1
16122,1,long,0.7142857142857143
16122,2,none,1
16122,2,short,1
16122,2,medium,1
16122,2,long,1
16122,3,none,1
16122,3,short,1
16122,3,medium,0.8571428571428571
16122,3,long,1
16123,1,none,1
16123,1,short,0.8571428571428571
16123,1,medium,0.8571428571428571
16123,1,long,0.5714285714285714
16123,2,none,1
16123,2,short,0.8571428571428571
16123,2,medium,1
16123,2,long,0.7142857142857143
16123,3,none,1
16123,3,short,0.7142857142857143
16123,3,medium,0.5714285714285714
16123,3,long,0.7142857142857143
16124,1,none,1
16124,1,short,1
16124,1,medium,1
16124,1,long,1
16124,2,none,1
16124,2,short,1
16124,2,medium,1
16124,2,long,0.7142857142857143
16124,3,none,1
16124,3,short,1
16124,3,medium,1
16124,3,long,0.8571428571428571
16125,1,none,1
16125,1,short,1
16125,1,medium,1
16125,1,long,1
16125,2,none,1
16125,2,short,1
16125,2,medium,1
16125,2,long,0.8571428571428571
16125,3,none,1
16125,3,short,1
16125,3,medium,1
16125,3,long,1
16126,1,none,1
16126,1,short,1
16126,1,medium,1
16126,1,long,0.8571428571428571
16126,2,none,1
16126,2,short,0.7142857142857143
16126,2,medium,0.7142857142857143
16126,2,long,1
16126,3,none,1
16126,3,short,1
16126,3,medium,0.7142857142857143
16126,3,long,0.2857142857142857
16127,1,none,1
16127,1,short,1
16127,1,medium,1
16127,1,long,1
16127,2,none,1
16127,2,short,0.8571428571428571
16127,2,medium,0.8571428571428571
16127,2,long,0.7142857142857143
16127,3,none,1
16127,3,short,1
16127,3,medium,1
16127,3,long,0.7142857142857143
16128,1,none,1
16128,1,short,1
16128,1,medium,1
16128,1,long,0.7142857142857143
16128,2,none,1
16128,2,short,1
16128,2,medium,0.8571428571428571
16128,2,long,0.8571428571428571
16128,3,none,1
16128,3,short,1
16128,3,medium,0.7142857142857143
16128,3,long,1
16129,1,none,1
16129,1,short,1
16129,1,medium,1
16129,1,long,1
16129,2,none,1
16129,2,short,1
16129,2,medium,1
16129,2,long,1
16129,3,none,1
16129,3,short,1
16129,3,medium,0.8571428571428571
16129,3,long,0.5714285714285714
16130,1,none,0
16130,1,short,1
16130,1,medium,0.8571428571428571
16130,1,long,1
16130,2,none,1
16130,2,short,1
16130,2,medium,0.7142857142857143
16130,2,long,1
16130,3,none,1
16130,3,short,0.8571428571428571
16130,3,medium,0.7142857142857143
16130,3,long,1
16131,1,none,0
16131,1,short,0.8571428571428571
16131,1,medium,1
16131,1,long,0.8571428571428571
16131,2,none,1
16131,2,short,0.8571428571428571
16131,2,medium,1
16131,2,long,0.8571428571428571
16131,3,none,1
16131,3,short,1
16131,3,medium,0.8571428571428571
16131,3,long,0.8571428571428571
16132,1,none,1
16132,1,short,1
16132,1,medium,1
16132,1,long,0.8571428571428571
16132,2,none,1
16132,2,short,1
16132,2,medium,0.8571428571428571
16132,2,long,0.7142857142857143
16132,3,none,1
16132,3,short,1
16132,3,medium,1
16132,3,long,0.8571428571428571
16133,1,none,1
16133,1,short,1
16133,1,medium,0.7142857142857143
16133,1,long,0.8571428571428571
16133,2,none,1
16133,2,short,0.8571428571428571
16133,2,medium,1
16133,2,long,0.8571428571428571
16133,3,none,1
16133,3,short,1
16133,3,medium,0.5714285714285714
16133,3,long,0.8571428571428571
16136,1,none,1
16136,1,short,1
16136,1,medium,1
16136,1,long,1
16136,2,none,1
16136,2,short,1
16136,2,medium,1
16136,2,long,1
16136,3,none,1
16136,3,short,1
16136,3,medium,1
16136,3,long,1
16138,1,none,1
16138,1,short,1
16138,1,medium,1
16138,1,long,1
16138,2,none,1
16138,2,short,1
16138,2,medium,1
16138,2,long,1
16138,3,none,1
16138,3,short,1
16138,3,medium,1
16138,3,long,1
16139,1,none,1
16139,1,short,1
16139,1,medium,1
16139,1,long,1
16139,2,none,1
16139,2,short,1
16139,2,medium,1
16139,2,long,1
16139,3,none,1
16139,3,short,1
16139,3,medium,1
16139,3,long,1
16140,1,none,1
16140,1,short,1
16140,1,medium,1
16140,1,long,1
16140,2,none,1
16140,2,short,1
16140,2,medium,0.8571428571428571
16140,2,long,0.8571428571428571
16140,3,none,1
16140,3,short,1
16140,3,medium,0.8571428571428571
16140,3,long,0.8571428571428571
16142,1,none,1
16142,1,short,1
16142,1,medium,1
16142,1,long,1
16142,2,none,1
16142,2,short,1
16142,2,medium,1
16142,2,long,1
16142,3,none,1
16142,3,short,1
16142,3,medium,1
16142,3,long,1
16143,1,none,1
16143,1,short,1
